id,database,title,authors,year,journal_type,journal,citations,url,pdf
31,Google Scholar,A hybrid model for quality assessment of Wikipedia articles,"A Shen, J Qi, T Baldwin",2017,Conference,"Proceedings of the Australasian …, 2017",37,https://aclanthology.org/U17-1005.pdf,https://aclanthology.org/U17-1005.pdf
32,Google Scholar,Measuring article quality in wikipedia using the collaboration network,"B de La Robertie, Y Pitarch…",2015,unknown,"2015 IEEE/ACM …, 2015",41,https://ieeexplore.ieee.org/abstract/document/7403578/,ftp://ftp.irit.fr/IRIT/SIG/2015_ASONAM_DPT.pdf
33,Google Scholar,QuWi: quality control in Wikipedia,"A Cusinato, V Della Mea, F Di Salvatore…",2009,Conference,"Proceedings of the 3rd …, 2009",31,https://dl.acm.org/doi/abs/10.1145/1526993.1527001,https://www.ra.ethz.ch/CDStore/www2009/www.dl.kuis.kyoto-u.ac.jp/wicow3/papers/p27-cusinatoA.pdf
34,Google Scholar,Modelling the quality of attributes in Wikipedia infoboxes,"K Węcel, W Lewoniewski",2015,Conference,"International Conference on Business …, 2015",28,https://link.springer.com/chapter/10.1007/978-3-319-26762-3_27,N/A
35,Google Scholar,Towards automatic quality assurance in Wikipedia,"M Anderka, B Stein, N Lipka",2011,Conference,"Proceedings of the 20th international …, 2011",42,https://dl.acm.org/doi/abs/10.1145/1963192.1963196,http://www.ramb.ethz.ch/CDstore/www2011/companion/p5.pdf
36,Google Scholar,What makes a good biography? Multidimensional quality analysis based on Wikipedia article feedback data,"L Flekova, O Ferschke, I Gurevych",2014,Conference,"Proceedings of the 23rd …, 2014",39,https://dl.acm.org/doi/abs/10.1145/2566486.2567972,https://scholar.archive.org/work/ixdvae3bt5hcxkqdgpkqgc2lm4/access/wayback/http://wwwconference.org/proceedings/www2014/proceedings/p855.pdf
37,Google Scholar,Who does what: Collaboration patterns in the wikipedia and their impact on data quality,"J Liu, S Ram",2009,Conference,"19th Workshop on Information Technologies and …, 2009",51,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1565682,N/A
38,Google Scholar,NwQM: A neural quality assessment framework for Wikipedia,"BPR Guda, SB Seelaboyina, S Sarkar…",2020,Conference,"Proceedings of the …, 2020",4,https://aclanthology.org/2020.emnlp-main.674/,N/A
39,Google Scholar,Quality of information sources about mental disorders: a comparison of Wikipedia with centrally controlled web and printed sources,"NJ Reavley, AJ Mackinnon, AJ Morgan…",2012,unknown,"Psychological …, 2012",169,https://www.cambridge.org/core/journals/psychological-medicine/article/quality-of-information-sources-about-mental-disorders-a-comparison-of-wikipedia-with-centrally-controlled-web-and-printed-sources/595CEE672BB7C503101FAF5A9E303673,https://osf.io/csnk4/download
40,Google Scholar,Ranking of Wikipedia articles in search engines revisited: Fair ranking for reasonable quality?,"D Lewandowski, U Spree",2011,Journal,"Journal of the American Society for …, 2011",69,https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/asi.21423,https://arxiv.org/pdf/1109.0916
