Author,Affiliation,Country,Papers
Tomasz Kajdanowicz,,,157
Valéria Freitas Amaral,,,111
Vanessa Jofré,,,147
Vincenzo Della Mea,,,33
Vittoria Cozza,,,92
Viviana Paiz,,,100
Witold Abramowicz,,,"18, 46, 66, 71, 139, 149"
Włodzimierz Lewoniewski,,,"18, 46, 62, 66, 71, 106, 109, 139, 149, 34, 96"
Xiangju Qin,,,131
Xiaodan Li,,,"26, 48, 74"
Xinyi Li,,,20
Yan Lin,,,69
Yanxiang Xu,,,30
Yoann Pitarch,,,"32, 172"
Yu Suzuki,,,"60, 79, 82, 117, 133, 159"
Yuqing Lu,,,173
Yutaka Matsuo,,,85
Yuxiang Zhao,,,61
Zheng Hu,,,41
Zhunchen Luo,,,20
