Id,Q1,Q2,Q3,Q4,Total
1,1,2,2,1,6
2,3,1,3,1,8
5,2,2,2,1,7
6,2,1,3,0,6
9,3,3,3,0,9
12,3,3,3,0,9
13,3,2,3,0,8
14,3,2,2,0,7
15,3,2,3,0,8
16,3,0,2,0,5
19,1,1,2,0,4
28,2,0,2,0,4
29,0,2,1,0,3
33,1,2,2,0,5
38,1,0,1,0,2
39,1,0,1,1,3
41,2,0,2,0,4
45,1,1,2,0,4
48,2,0,1,0,3
52,2,1,2,0,5
64,3,1,2,0,6
69,2,0,0,0,2
