Title,CC,CW,CSN,CS,CMSL,CP,CMPL,CLSL,CSSL,CSTDSL,CLSSR,CB,CBPS,CNL,CNLTLR,CR,CCC,CCCPC,CCCPS,CEL,CELPS,CELPC,SSLS,SSSS,SMSS,SLSR,SSSR,SQ,SQPS,SE,SEPS,SS,SMSPW,SMCPW,SSTP,SSTART,SSTC,SSTSUB,SSTI,SSTD,SSTADJ,SSTN,SSTADV,SSTPPS,SSTARTPS,SSTCPS,SSTSUBPS,SSTDPS,SSTADJPS,SSTNPS,SSTADVPS,SMV,STB,SUW,SN,SUN,SV,SUV,SP,SUP,SADV,SUADV,SADJ,SUADJ,SCC,SUCC,SSUB,SUSUB,SMVPW,STBPW,SUWPW,SNPW,SUNPW,SVPW,SUVPW,SPPW,SUPPW,SADVPW,SUADVPW,SADJPW,SUADJPW,SCCPW,SUCCPW,SSUBPW,SUSUBPW,STBPV,SUNPUW,SUVPUW,SUPPUW,SUADJPUW,SUADVPUW,SUCCPUW,SUSUBPUW,SWL6,RARI,RCL,RFRE,RFK,RGFI,RLBI,RSG,RDWS,RDC,RLWF,Quality
"WASP-43b","5398","879","54","5","1063.0","13","415.2307692307692","2395","179","820.5684005614645","13.379888268156424","0","0.0","847","0.15690996665431642","15","40","0.007410151908114116","8.0","1","0.2","0.0001852537977028529","44","9","24.194444444444443","0.16666666666666666","0.3333333333333333","0","0.0","0","0.0","1460","1.6762342135476465","4.964408725602755","0","13","0","9","0","14","1","1","1","0.0","0.3611111111111111","0.0","0.25","0.3888888888888889","0.027777777777777776","0.027777777777777776","0.027777777777777776","4","36","380","159","89","112","60","13","3","25","19","81","56","24","3","138","25","0.004592422502870264","0.04133180252583238","0.4362801377726751","0.182548794489093","0.10218140068886337","0.1285878300803674","0.06888633754305395","0.014925373134328358","0.003444316877152698","0.02870264064293915","0.021814006888633754","0.09299655568312284","0.0642939150401837","0.027554535017221583","0.003444316877152698","0.1584385763490241","0.02870264064293915","0.32142857142857145","0.23421052631578948","0.15789473684210525","0.007894736842105263","0.14736842105263157","0.05","0.007894736842105263","0.06578947368421052","258","14.049587319811202","12.16730195177956","40.46822442275803","13.62539705319556","17.622668707743333","53.81556958795765","15.65234096097598","443","9.231008853170048","16.90277777777778","4"
"The Dragon and the Doctor","6834","1142","60","4","1692.25","11","621.2727272727273","2711","1142","696.977940827398","2.373905429071804","3","0.75","1142","0.16710564822944102","0","0","0.0","0.0","0","0.0","0.0","57","5","20.636363636363637","0.18181818181818182","0.32727272727272727","0","0.0","2","0.03636363636363636","1876","1.652863436123348","4.834361233480176","5","23","1","6","0","23","3","1","4","0.09090909090909091","0.41818181818181815","0.01818181818181818","0.10909090909090909","0.41818181818181815","0.05454545454545454","0.01818181818181818","0.07272727272727272","4","37","446","184","93","178","119","57","15","30","23","82","51","41","4","143","25","0.003524229074889868","0.03259911894273128","0.39295154185022024","0.16211453744493393","0.08193832599118943","0.1568281938325991","0.10484581497797357","0.050220264317180616","0.013215859030837005","0.02643171806167401","0.02026431718061674","0.0722466960352423","0.044933920704845816","0.03612334801762115","0.003524229074889868","0.12599118942731277","0.022026431718061675","0.20786516853932585","0.2085201793721973","0.26681614349775784","0.033632286995515695","0.11434977578475336","0.0515695067264574","0.008968609865470852","0.05605381165919283","291","11.65802322787345","11.19168281938326","46.05684421305571","11.961970364437331","15.162034441329595","46.27513015618743","13.9133917076813","478","7.673449098918703","13.881818181818181","4"
"B46 (New York City bus)","12197","2022","96","3","4049.6666666666665","22","554.4090909090909","7545","1181","3227.949400677361","6.388653683319221","5","1.6666666666666667","1181","0.09682708862835124","65","123","0.010084446995162744","41.0","5","1.6666666666666667","0.00040993686972206283","87","8","25.55128205128205","0.16666666666666666","0.4358974358974359","0","0.0","0","0.0","3283","1.6472654290015052","4.85449071751129","3","30","0","31","0","30","5","1","2","0.038461538461538464","0.38461538461538464","0.0","0.3974358974358974","0.38461538461538464","0.0641025641025641","0.01282051282051282","0.02564102564102564","7","57","644","309","127","231","125","11","5","53","30","98","64","60","2","285","43","0.0035122930255895636","0.028600100351229302","0.32313095835423983","0.1550426492724536","0.06372303060712493","0.11590566984445559","0.06271951831409935","0.0055193176116407425","0.002508780732563974","0.026593075765178123","0.015052684395383844","0.04917210235825389","0.032112393376818864","0.030105368790767688","0.0010035122930255895","0.1430005017561465","0.021575514300050176","0.24675324675324675","0.1972049689440994","0.19409937888198758","0.007763975155279503","0.09937888198757763","0.046583850931677016","0.003105590062111801","0.06677018633540373","484","14.210292305119204","11.58595082789764","41.5417934244214","13.812732062217762","16.903904692063247","49.836279542501316","14.932843164450322","1027","9.40398684112342","17.044871794871796","4"
"Nasreen Paracha","10517","1782","80","4","2617.25","9","1168.5555555555557","4425","909","1802.5419782444274","4.867986798679868","0","0.0","909","0.08643149187030522","10","24","0.002282019587334791","6.0","0","0.0","0.0","42","8","22.556962025316455","0.0759493670886076","0.25316455696202533","0","0.0","0","0.0","2810","1.5768799102132436","4.709315375982043","19","4","0","14","0","5","7","0","5","0.24050632911392406","0.05063291139240506","0.0","0.17721518987341772","0.06329113924050633","0.08860759493670886","0.0","0.06329113924050633","12","67","651","239","142","310","176","151","18","58","38","109","76","50","3","274","35","0.006734006734006734","0.037598204264870934","0.3653198653198653","0.13411896745230079","0.07968574635241302","0.1739618406285073","0.09876543209876543","0.08473625140291807","0.010101010101010102","0.03254769921436588","0.02132435465768799","0.0611672278338945","0.04264870931537598","0.028058361391694726","0.0016835016835016834","0.1537598204264871","0.01964085297418631","0.2161290322580645","0.21812596006144394","0.27035330261136714","0.027649769585253458","0.11674347158218126","0.05837173579109063","0.004608294930875576","0.053763440860215055","406","12.02935643353365","10.57854096520763","50.53564314026343","11.814398130389694","14.275310062651835","45.34035147537257","12.96104224730955","708","7.39229332992371","14.240506329113924","4"
"Commander (song)","21944","3693","194","13","1668.2307692307693","41","535.219512195122","4375","26","1183.3116068789145","168.26923076923077","8","0.6153846153846154","1910","0.08703973751367117","136","194","0.008840685380969741","14.923076923076923","0","0.0","0.0","136","1","22.85987261146497","0.17834394904458598","0.39490445859872614","4","0.025477707006369428","2","0.012738853503184714","5790","1.6132627472833658","4.752020061298412","33","25","2","19","0","29","2","6","16","0.21019108280254778","0.1592356687898089","0.012738853503184714","0.12101910828025478","0.18471337579617833","0.012738853503184714","0.03821656050955414","0.10191082802547771","26","109","1243","588","270","577","266","200","24","132","64","240","159","118","8","458","51","0.007244357759821678","0.03037057676232934","0.34633602674839786","0.16383393702981333","0.07522986904430204","0.16076901643911953","0.07411535246586792","0.05572582892170521","0.006687099470604625","0.03677904708832544","0.01783226525494567","0.06687099470604625","0.04430203399275564","0.032878239063806075","0.0022290331568682086","0.12761214823070494","0.014210086375034828","0.18890814558058924","0.2172164119066774","0.21399839098954143","0.019308125502815767","0.12791633145615447","0.05148833467417538","0.006436041834271922","0.04102976669348351","801","12.381950794448002","10.847032599609918","47.15020087919035","12.361850736415054","15.206919231267515","45.178067094607904","13.763048664716301","1747","8.819870857343652","14.894904458598726","4"
"Tupolev Tu-70","4521","691","30","3","1490.6666666666667","11","411.0","2566","720","959.9715273555425","3.563888888888889","2","0.6666666666666666","720","0.15925680159256803","8","9","0.0019907100199071004","3.0","0","0.0","0.0","168","9","26.423076923076923","0.11538461538461539","0.6153846153846154","0","0.0","0","0.0","1177","1.7132459970887919","5.324599708879185","10","9","0","1","0","11","0","0","0","0.38461538461538464","0.34615384615384615","0.0","0.038461538461538464","0.4230769230769231","0.0","0.0","0.0","2","28","345","186","114","121","76","17","4","18","11","64","46","18","2","64","17","0.002911208151382824","0.040756914119359534","0.5021834061135371","0.27074235807860264","0.16593886462882096","0.17612809315866085","0.11062590975254731","0.024745269286754003","0.005822416302765648","0.026200873362445413","0.01601164483260553","0.09315866084425037","0.06695778748180495","0.026200873362445413","0.002911208151382824","0.09315866084425037","0.024745269286754003","0.23140495867768596","0.33043478260869563","0.22028985507246376","0.011594202898550725","0.13333333333333333","0.03188405797101449","0.005797101449275362","0.04927536231884058","198","16.860403090359426","14.388413391557496","35.07496556936516","14.931302765647743","18.371268614936735","55.24403762176688","16.09822454788146","385","10.159420132124062","18.365384615384617","4"
"Samuel Escue Tillman","8596","1202","84","5","1703.2","11","781.4545454545455","3650","530","1302.6863398377984","6.886792452830188","0","0.0","569","0.06619357840856212","30","41","0.00476966030711959","8.2","2","0.4","0.00023266635644485808","96","1","31.128205128205128","0.1794871794871795","0.5384615384615384","0","0.0","0","0.0","2292","1.887973640856672","5.809719934102142","3","5","0","10","0","6","2","1","1","0.07692307692307693","0.1282051282051282","0.0","0.2564102564102564","0.15384615384615385","0.05128205128205128","0.02564102564102564","0.02564102564102564","2","24","591","192","127","146","96","23","9","17","13","98","81","48","7","167","24","0.0016474464579901153","0.019769357495881382","0.4868204283360791","0.15815485996705106","0.10461285008237232","0.12026359143327842","0.07907742998352553","0.018945634266886325","0.007413509060955519","0.01400329489291598","0.01070840197693575","0.08072487644151564","0.06672158154859967","0.039538714991762765","0.005766062602965404","0.13756177924217464","0.019769357495881382","0.1643835616438356","0.21489001692047377","0.16243654822335024","0.015228426395939087","0.13705583756345177","0.021996615905245348","0.011844331641285956","0.04060913705583756","448","21.497883453723652","17.4102471169687","15.517301778397353","18.828088962108733","22.467756515861954","68.03100578718372","19.07868634621552","738","11.142822236302962","23.358974358974358","4"
"Ain't It Fun (Paramore song)","17927","2972","159","9","1969.111111111111","35","512.2","4692","88","1410.1090777351626","53.31818181818182","7","0.7777777777777778","1767","0.09856640821107826","81","114","0.006359123110392146","12.666666666666666","0","0.0","0.0","91","3","20.921985815602838","0.09219858156028368","0.28368794326241137","2","0.014184397163120567","0","0.0","4690","1.5898305084745763","4.750508474576272","14","33","1","23","0","37","2","5","6","0.09929078014184398","0.23404255319148937","0.0070921985815602835","0.16312056737588654","0.2624113475177305","0.014184397163120567","0.03546099290780142","0.0425531914893617","9","57","1115","491","221","482","270","162","28","90","39","194","131","60","8","416","39","0.0030508474576271187","0.019322033898305085","0.37796610169491524","0.1664406779661017","0.07491525423728813","0.16338983050847458","0.09152542372881356","0.05491525423728814","0.009491525423728813","0.030508474576271188","0.013220338983050847","0.06576271186440678","0.04440677966101695","0.020338983050847456","0.002711864406779661","0.14101694915254237","0.013220338983050847","0.11825726141078838","0.19820627802690582","0.242152466367713","0.025112107623318385","0.11748878923766816","0.03497757847533632","0.007174887892376682","0.03497757847533632","688","11.405887823055657","10.71821016949152","51.09952338021398","11.32957446808511","14.185743478783507","44.24401971390792","13.093795349294695","1478","8.948788123572545","13.50354609929078","4"
"Kaneez Paracha","12165","2062","88","4","3029.25","9","1351.6666666666667","5307","960","2207.4177032602297","5.528125","0","0.0","1324","0.10883682696259761","11","29","0.002383888203863543","7.25","0","0.0","0.0","51","5","23.701149425287355","0.12643678160919541","0.26436781609195403","0","0.0","0","0.0","3280","1.5906886517943744","4.744907856450048","18","2","0","9","0","2","1","4","3","0.20689655172413793","0.022988505747126436","0.0","0.10344827586206896","0.022988505747126436","0.011494252873563218","0.04597701149425287","0.034482758620689655","12","79","710","261","152","406","224","197","18","67","34","114","77","69","2","283","32","0.005819592628516004","0.03831231813773036","0.3443258971871969","0.12657613967022308","0.07371483996120272","0.19689621726479145","0.10863239573229874","0.09553831231813772","0.008729388942774006","0.03249272550921436","0.016488845780795344","0.055286129970902036","0.03734238603297769","0.03346265761396702","0.0009699321047526673","0.13724539282250242","0.015518913676042677","0.19458128078817735","0.2140845070422535","0.3154929577464789","0.02535211267605634","0.10845070422535211","0.04788732394366197","0.0028169014084507044","0.04507042253521127","432","12.7690907165234","10.85117361784675","48.20607339152926","12.423574367035688","14.756890419969452","44.65168288794497","13.230225372605936","837","7.5849999018919245","14.977011494252874","4"
"The British Invasion (Dexter)","7875","1287","71","4","1958.5","11","715.9090909090909","2537","1445","490.070403105513","1.7557093425605537","0","0.0","1445","0.18349206349206348","18","25","0.0031746031746031746","6.25","1","0.25","0.00012698412698412698","54","1","20.349206349206348","0.1111111111111111","0.25396825396825395","0","0.0","0","0.0","2167","1.6903276131045242","4.944617784711388","13","10","0","2","0","10","0","2","4","0.20634920634920634","0.15873015873015872","0.0","0.031746031746031744","0.15873015873015872","0.0","0.031746031746031744","0.06349206349206349","5","47","560","174","111","227","145","64","17","45","33","60","47","44","2","162","28","0.0039001560062402497","0.036661466458658344","0.43681747269890797","0.1357254290171607","0.08658346333853355","0.17706708268330734","0.11310452418096724","0.0499219968798752","0.01326053042121685","0.035101404056162244","0.02574102964118565","0.046801872074883","0.036661466458658344","0.0343213728549142","0.0015600624024961","0.12636505460218408","0.0218408736349454","0.20704845814977973","0.1982142857142857","0.25892857142857145","0.030357142857142857","0.08392857142857142","0.05892857142857143","0.0035714285714285713","0.05","325","12.033752940593814","11.8197503900156","43.178839486912835","12.292056310823863","15.15996335091499","45.70022038976797","13.925175675911131","625","8.70725355223733","13.746031746031745","4"
"Will Munro","10998","1834","83","4","2729.0","16","687.375","5410","686","2123.3096806636568","7.886297376093294","0","0.0","1420","0.12911438443353337","29","53","0.004819058010547372","13.25","1","0.25","9.092562284051645e-05","75","1","23.384615384615383","0.20512820512820512","0.44871794871794873","0","0.0","0","0.0","3065","1.6803728070175439","4.826206140350878","16","10","1","14","1","10","3","0","1","0.20512820512820512","0.1282051282051282","0.01282051282051282","0.1794871794871795","0.1282051282051282","0.038461538461538464","0.0","0.01282051282051282","6","55","788","289","171","261","145","96","19","64","41","154","112","67","4","247","30","0.003289473684210526","0.030153508771929825","0.43201754385964913","0.15844298245614036","0.09375","0.14309210526315788","0.07949561403508772","0.05263157894736842","0.010416666666666666","0.03508771929824561","0.022478070175438597","0.08442982456140351","0.06140350877192982","0.03673245614035088","0.0021929824561403508","0.13541666666666666","0.01644736842105263","0.210727969348659","0.217005076142132","0.18401015228426396","0.024111675126903553","0.14213197969543148","0.05203045685279188","0.005076142131979695","0.03807106598984772","445","12.993738613360321","11.312302631578945","40.9400759109312","13.358399122807018","17.1389338731444","47.781545209176784","15.316520926765179","827","8.31904907219973","16.243589743589745","4"
"PATH (rail system)","60031","9732","477","8","7486.0","120","500.2583333333333","30574","1860","9530.340182805649","16.43763440860215","14","1.75","2462","0.0410121437257417","281","439","0.007312888341023805","54.875","0","0.0","0.0","112","5","22.12785388127854","0.13926940639269406","0.3858447488584475","0","0.0","0","0.0","16103","1.661473380107305","4.969046636401155","18","149","2","105","0","178","10","26","15","0.0410958904109589","0.3401826484018265","0.0045662100456621","0.23972602739726026","0.4063926940639269","0.0228310502283105","0.0593607305936073","0.03424657534246575","64","305","2209","1255","472","1304","477","105","11","280","102","519","293","354","7","1267","70","0.006603384234420141","0.031469252992158483","0.22791993396615765","0.12948823772183243","0.04869995872884853","0.13454395377631037","0.049215848122162606","0.010833677259595543","0.0011349566652909615","0.028889806025588115","0.010524143623607098","0.053549319026000824","0.030231118448204704","0.0365249690466364","0.0007222451506397028","0.1307263722657862","0.007222451506397029","0.2338957055214724","0.21367134449977365","0.21593481213218652","0.004979628791308284","0.13263920325939338","0.046174739701222274","0.003168854685377999","0.03168854685377999","2593","13.038136598088713","12.080313660751134","43.814580353424304","12.645248898964834","16.11486421037357","48.881877818546386","14.58064843869752","5148","9.484553521145342","15.082191780821917","4"
"Great Captain Island Light","4291","717","44","6","696.8333333333334","9","476.77777777777777","2521","33","938.4718251853204","76.39393939393939","1","0.16666666666666666","33","0.0076905150314611976","11","46","0.010720111862036821","7.666666666666667","0","0.0","0.0","35","8","18.342105263157894","0.07894736842105263","0.23684210526315788","0","0.0","0","0.0","1123","1.6111908177905307","4.835007173601148","2","14","0","12","0","16","0","1","1","0.05263157894736842","0.3684210526315789","0.0","0.3157894736842105","0.42105263157894735","0.0","0.02631578947368421","0.02631578947368421","3","32","333","110","67","108","66","12","4","7","7","49","39","26","3","97","19","0.00430416068866571","0.04591104734576758","0.47776183644189385","0.15781922525107603","0.09612625538020086","0.15494978479196556","0.09469153515064563","0.01721664275466284","0.005738880918220947","0.010043041606886656","0.010043041606886656","0.0703012912482066","0.05595408895265423","0.03730272596843615","0.00430416068866571","0.13916786226685796","0.027259684361549498","0.2962962962962963","0.2012012012012012","0.1981981981981982","0.012012012012012012","0.11711711711711711","0.021021021021021023","0.009009009009009009","0.057057057057057055","190","10.513936419240352","11.016068866571015","51.911019972815865","10.575472702559846","14.68260968058597","45.60178962470739","13.613851032357722","334","8.476282050894813","12.539473684210526","4"
"Cayman Islands at the 2010 Winter Olympics","1417","234","16","3","460.6666666666667","4","354.25","566","317","128.85004203853924","1.7854889589905363","0","0.0","317","0.223712067748765","9","13","0.009174311926605505","4.333333333333333","0","0.0","0.0","27","10","15.4","0.06666666666666667","0.13333333333333333","0","0.0","0","0.0","392","1.696969696969697","4.822510822510822","3","7","0","0","0","8","0","0","0","0.2","0.4666666666666667","0.0","0.0","0.5333333333333333","0.0","0.0","0.0","0","6","125","39","25","31","23","8","7","3","3","10","9","6","1","28","12","0.0","0.025974025974025976","0.5411255411255411","0.16883116883116883","0.10822510822510822","0.1341991341991342","0.09956709956709957","0.03463203463203463","0.030303030303030304","0.012987012987012988","0.012987012987012988","0.04329004329004329","0.03896103896103896","0.025974025974025976","0.004329004329004329","0.12121212121212122","0.05194805194805195","0.1935483870967742","0.2","0.184","0.056","0.072","0.024","0.008","0.096","65","8.984025974025972","10.634285714285713","47.640363636363645","10.440242424242427","13.432727272727275","43.538528138528136","12.68835289967788","129","9.58163220779221","10.5","4"
"Hitman (2016 video game)","42554","6778","270","7","6064.571428571428","51","834.3921568627451","11878","1022","3773.8199858650237","11.622309197651663","13","1.8571428571428572","2248","0.05282699628707055","120","168","0.003947924989425201","24.0","0","0.0","0.0","73","5","25.549242424242426","0.1553030303030303","0.3409090909090909","0","0.0","0","0.0","11936","1.7696071163825056","5.116679021497405","8","65","0","41","0","80","13","12","7","0.030303030303030304","0.24621212121212122","0.0","0.1553030303030303","0.30303030303030304","0.04924242424242424","0.045454545454545456","0.026515151515151516","96","193","2012","1078","483","1081","519","161","17","155","76","507","300","254","6","724","56","0.014232765011119348","0.028613787991104523","0.29829503335804297","0.159822090437361","0.07160859896219422","0.16026686434395848","0.07694588584136397","0.023869532987398072","0.002520385470719051","0.022979985174203115","0.011267605633802818","0.07516679021497405","0.04447739065974796","0.03765752409191994","0.0008895478131949593","0.10733876945885841","0.008302446256486287","0.17853839037927843","0.2400596421471173","0.25795228628230615","0.008449304174950299","0.14910536779324055","0.03777335984095427","0.002982107355864811","0.027833001988071572","1974","15.444179403373994","13.127525574499629","31.193756893434","15.255568518768115","18.883892670215875","54.81536547835658","16.568134855260592","3357","9.125957027652358","18.30871212121212","4"
"Operation Mallard","10088","1630","73","4","2511.0","21","480.3809523809524","4241","1009","1646.3035362087192","4.203171456888008","2","0.5","1009","0.10001982553528946","27","47","0.0046590007930214115","11.75","0","0.0","0.0","52","5","22.887323943661972","0.14084507042253522","0.30985915492957744","0","0.0","0","0.0","2744","1.6886153846153846","5.043692307692307","1","28","1","12","0","30","2","1","4","0.014084507042253521","0.39436619718309857","0.014084507042253521","0.16901408450704225","0.4225352112676056","0.028169014084507043","0.014084507042253521","0.056338028169014086","7","38","631","209","116","226","141","24","9","34","25","100","68","55","4","203","34","0.0043076923076923075","0.023384615384615386","0.3883076923076923","0.1286153846153846","0.07138461538461538","0.13907692307692307","0.08676923076923077","0.014769230769230769","0.005538461538461538","0.020923076923076923","0.015384615384615385","0.06153846153846154","0.041846153846153845","0.033846153846153845","0.0024615384615384616","0.12492307692307693","0.020923076923076923","0.168141592920354","0.1838351822503962","0.22345483359746435","0.014263074484944533","0.10776545166402536","0.039619651347068144","0.006339144215530904","0.05388272583201268","502","13.769452741061755","12.563618461538457","40.74750465872157","13.261717876489708","17.376468039003253","53.779631635969665","15.519604644771846","856","9.452897421451787","16.14788732394366","4"
"Legacy of Pedro II of Brazil","17276","2779","134","3","5744.0","28","617.0","10916","1716","4705.481059360456","6.361305361305361","3","1.0","1716","0.09932854827506367","3","3","0.00017365130817318823","1.0","0","0.0","0.0","79","2","23.134453781512605","0.15966386554621848","0.3697478991596639","0","0.0","0","0.0","4960","1.8016709044678532","5.0566654558663275","18","31","1","17","0","39","7","2","8","0.15126050420168066","0.2605042016806723","0.008403361344537815","0.14285714285714285","0.3277310924369748","0.058823529411764705","0.01680672268907563","0.06722689075630252","16","84","1049","407","250","392","234","119","21","120","72","232","149","87","3","399","46","0.005811841627315656","0.030512168543407193","0.38103886669088266","0.147838721394842","0.09081002542680712","0.14239011986923356","0.08499818379949146","0.043225572103160186","0.007628042135851798","0.04358881220486742","0.02615328732292045","0.08427170359607701","0.054122775154377044","0.03160188884852888","0.0010897203051216855","0.14493280058118416","0.01670904467853251","0.21428571428571427","0.23832221163012393","0.223069590085796","0.02001906577693041","0.14204003813155386","0.06863679694947569","0.002859866539561487","0.0438512869399428","797","13.954121187886706","12.653715946240464","30.93217089378433","14.692153647510583","18.886909009880743","52.08468988757872","16.613394197324528","1277","8.47178056757029","17.138655462184875","4"
"Nicholas Biddle","18932","2943","139","5","3765.6","28","676.1428571428571","12034","205","4753.88255008472","58.702439024390245","7","1.4","1566","0.08271709275301077","16","16","0.0008451299387280794","3.2","4","0.8","0.00021128248468201986","52","4","23.89344262295082","0.1721311475409836","0.3114754098360656","0","0.0","0","0.0","5286","1.8133790737564321","5.287478559176672","14","20","1","35","0","27","0","2","6","0.11475409836065574","0.16393442622950818","0.00819672131147541","0.28688524590163933","0.22131147540983606","0.0","0.01639344262295082","0.04918032786885246","12","57","1140","401","252","372","239","77","11","73","42","240","144","100","5","432","46","0.00411663807890223","0.01955403087478559","0.3910806174957118","0.13756432246998285","0.08644939965694683","0.12761578044596913","0.08198970840480274","0.026415094339622643","0.0037735849056603774","0.025042881646655232","0.014408233276157804","0.0823327615780446","0.049399656946826756","0.03430531732418525","0.0017152658662092624","0.14819897084048028","0.015780445969125215","0.1532258064516129","0.22105263157894736","0.20964912280701756","0.009649122807017544","0.12631578947368421","0.03684210526315789","0.0043859649122807015","0.04035087719298246","901","15.420745325197537","14.051540308747853","29.17128609791078","15.12631569327672","19.039366757585128","54.80253353204173","16.72487736097426","1480","9.20199297022186","17.610655737704917","3"
"Usury","38577","6421","308","9","4269.0","79","488.3164556962025","14856","1500","4127.4529979153","9.904","14","1.5555555555555556","1500","0.038883272416206545","83","94","0.0024366850714156105","10.444444444444445","7","0.7777777777777778","0.00018145527127563056","127","0","24.297709923664122","0.2099236641221374","0.46564885496183206","0","0.0","4","0.015267175572519083","10829","1.7010681746779768","4.8188815582783535","14","36","8","46","0","49","14","20","26","0.05343511450381679","0.13740458015267176","0.030534351145038167","0.17557251908396945","0.18702290076335878","0.05343511450381679","0.07633587786259542","0.09923664122137404","74","258","1986","1158","511","1060","485","211","27","291","124","478","272","248","12","936","68","0.011624253848570531","0.04052780395852969","0.31196983977379833","0.18190386427898209","0.08027018535972354","0.1665095821551995","0.07618598806157713","0.03314483191957273","0.004241281809613572","0.04571159283694628","0.019478479421929","0.07508639648130694","0.04272698711907006","0.038956958843858","0.001885014137606032","0.1470311027332705","0.010681746779767515","0.24339622641509434","0.25730110775427995","0.24420946626384693","0.013595166163141994","0.13695871097683787","0.06243705941591138","0.006042296072507553","0.03423967774420947","1653","13.415787101323112","11.316801759346529","38.26245684972409","13.95871133142914","18.119963642729868","50.263779669187215","16.03415898049584","2781","8.103059908914966","17.251908396946565","3"
"Cryoconservation of animal genetic resources","26907","3974","189","8","3347.75","33","815.3636363636364","7412","863","2317.454006324305","8.58864426419467","5","0.625","3519","0.13078381090422567","49","106","0.003939495298621177","13.25","0","0.0","0.0","88","7","21.053475935828878","0.0962566844919786","0.36363636363636365","0","0.0","0","0.0","7771","1.9738379476758954","5.588265176530353","4","35","0","20","0","48","18","33","20","0.0213903743315508","0.18716577540106952","0.0","0.10695187165775401","0.25668449197860965","0.0962566844919786","0.17647058823529413","0.10695187165775401","82","186","1220","832","352","643","255","36","9","132","64","429","220","185","4","483","46","0.02082804165608331","0.047244094488188976","0.30988061976123954","0.21132842265684532","0.08940817881635764","0.1633223266446533","0.06477012954025908","0.009144018288036576","0.002286004572009144","0.03352806705613411","0.016256032512065022","0.10896621793243587","0.05588011176022352","0.04699009398018796","0.001016002032004064","0.12268224536449072","0.011684023368046735","0.2892690513219285","0.28852459016393445","0.20901639344262296","0.007377049180327869","0.18032786885245902","0.05245901639344262","0.003278688524590164","0.03770491803278689","1433","15.417466949372404","15.65305562611125","18.47903155175294","15.912143397548828","20.542294616140037","57.45174873237447","17.558369812648287","1979","8.98136442064114","16.906417112299465","3"
"Anterior cruciate ligament reconstruction","22315","3468","164","7","3169.4285714285716","50","446.3","8429","758","3041.2843151725037","11.120052770448549","10","1.4285714285714286","758","0.03396818283665696","39","42","0.0018821420569123909","6.0","0","0.0","0.0","109","2","21.378205128205128","0.10256410256410256","0.4166666666666667","0","0.0","0","0.0","6131","1.8383808095952023","5.366716641679161","1","37","0","22","0","50","19","12","12","0.00641025641025641","0.23717948717948717","0.0","0.14102564102564102","0.32051282051282054","0.12179487179487179","0.07692307692307693","0.07692307692307693","60","132","1174","733","316","534","262","35","10","123","61","360","212","122","5","401","50","0.017991004497751123","0.039580209895052475","0.352023988005997","0.21979010494752624","0.09475262368815592","0.160119940029985","0.07856071964017991","0.010494752623688156","0.0029985007496251873","0.036881559220389805","0.018290854572713643","0.10794602698650675","0.06356821589205397","0.036581709145427285","0.0014992503748125937","0.12023988005997001","0.014992503748125937","0.24719101123595505","0.26916524701873934","0.2231686541737649","0.008517887563884156","0.18057921635434412","0.051959114139693355","0.004258943781942078","0.04258943781942078","1105","14.536337946411408","14.371706146926538","29.609105303117673","14.440393553223391","18.398358513051168","54.51163841156345","16.234618721574453","1687","9.04768431169031","15.951923076923077","3"
"Nic Grindrod","763","112","4","3","234.66666666666666","4","190.75","328","150","89.3159187006064","2.1866666666666665","0","0.0","226","0.2961992136304063","1","1","0.001310615989515072","0.3333333333333333","0","0.0","0.0","40","15","25.0","0.25","0.25","0","0.0","0","0.0","179","1.79","5.74","1","0","0","1","0","0","1","1","0","0.25","0.0","0.0","0.25","0.0","0.25","0.25","0.0","0","2","61","12","10","9","8","2","2","2","2","6","4","0","0","5","5","0.0","0.02","0.61","0.12","0.1","0.09","0.08","0.02","0.02","0.02","0.02","0.06","0.04","0.0","0.0","0.05","0.05","0.2222222222222222","0.16393442622950818","0.13114754098360656","0.03278688524590164","0.06557377049180328","0.03278688524590164","0.0","0.08196721311475409","27","18.105399999999996","16.7672","30.02600000000001","15.282000000000004","19.6","52.0","17.122413403193683","77","13.3983","18.5","3"
